Cell name,Leiden cluster,Cell type,Developmental stage
cell_5379,32,Rostral neurectoderm,E7.5
cell_5380,9,Mixed mesoderm,E7.5
cell_5384,5,Primitive Streak,E7.5
cell_5385,45,PGC,E7.5
cell_5389,32,Caudal epiblast,E7.5
cell_5393,9,Mesenchyme,E7.5
cell_5397,9,Mesenchyme,E7.5
cell_5399,28,Gut,E7.5
cell_5405,20,Epiblast,E7.5
cell_5407,9,Mixed mesoderm,E7.5
cell_5409,20,Rostral neurectoderm,E7.5
cell_5411,12,Blood progenitors 1,E7.5
cell_5413,0,Epiblast,E7.5
cell_5414,60,Parietal endoderm,E7.5
cell_5416,54,Epiblast,E7.5
cell_5418,0,Epiblast,E7.5
cell_5420,0,Epiblast,E7.5
cell_5421,0,Epiblast,E7.5
cell_5424,20,Rostral neurectoderm,E7.5
cell_5426,3,Mesenchyme,E7.5
cell_5427,32,Caudal Mesoderm,E7.5
cell_5428,9,Mesenchyme,E7.5
cell_5431,9,Mixed mesoderm,E7.5
cell_5432,20,Rostral neurectoderm,E7.5
cell_5441,20,Rostral neurectoderm,E7.5
cell_5443,27,Rostral neurectoderm,E7.5
cell_5444,16,Mixed mesoderm,E7.5
cell_5445,1,Mixed mesoderm,E7.5
cell_5448,1,Nascent mesoderm,E7.5
cell_5450,16,Mixed mesoderm,E7.5
cell_5451,28,Gut,E7.5
cell_5452,60,Parietal endoderm,E7.5
cell_5453,5,Primitive Streak,E7.5
cell_5454,9,Nascent mesoderm,E7.5
cell_5455,7,Epiblast,E7.5
cell_5456,49,Epiblast,E6.75
cell_5457,2,Epiblast,E6.75
cell_5458,65,Epiblast,E6.75
cell_5459,2,Epiblast,E6.75
cell_5460,2,Epiblast,E6.75
cell_5461,25,Epiblast,E6.75
cell_5462,7,Primitive Streak,E6.75
cell_5463,63,Epiblast,E6.75
cell_5465,63,Epiblast,E6.75
cell_5466,7,Primitive Streak,E6.75
cell_5467,2,Epiblast,E6.75
cell_5469,2,Epiblast,E6.75
cell_5470,33,Primitive Streak,E6.75
cell_5476,2,Primitive Streak,E6.75
cell_5479,7,Primitive Streak,E6.75
cell_5481,7,Primitive Streak,E6.75
cell_5482,2,Epiblast,E6.75
cell_5483,33,Epiblast,E6.75
cell_5484,7,Primitive Streak,E6.75
cell_5485,0,Epiblast,E6.75
cell_5486,1,Nascent mesoderm,E6.75
cell_5487,7,Primitive Streak,E6.75
cell_5488,5,Epiblast,E6.75
cell_5491,44,Primitive Streak,E6.75
cell_5495,1,Nascent mesoderm,E6.75
cell_5496,5,Epiblast,E6.75
cell_5500,2,Epiblast,E6.75
cell_5501,54,Epiblast,E6.75
cell_5502,25,Anterior Primitive Streak,E6.75
cell_5504,45,Primitive Streak,E6.75
cell_5505,44,Primitive Streak,E6.75
cell_5506,44,Primitive Streak,E6.75
cell_5508,63,Epiblast,E6.75
cell_5509,2,Epiblast,E6.75
cell_5511,2,Primitive Streak,E6.75
cell_5512,5,Epiblast,E6.75
cell_5513,2,Epiblast,E6.75
cell_5515,2,Epiblast,E6.75
cell_5516,5,Epiblast,E6.75
cell_5517,47,Primitive Streak,E6.75
cell_5518,33,Epiblast,E6.75
cell_5519,0,Epiblast,E6.75
cell_5520,2,Epiblast,E6.75
cell_5523,45,PGC,E6.75
cell_5525,45,Primitive Streak,E6.75
cell_5526,2,Epiblast,E6.75
cell_5530,2,Epiblast,E6.75
cell_5531,7,Epiblast,E6.75
cell_5533,2,Epiblast,E6.75
cell_5534,0,Epiblast,E6.75
cell_5535,2,Epiblast,E6.75
cell_5536,21,Primitive Streak,E6.75
cell_5537,2,Epiblast,E6.75
cell_5538,25,Epiblast,E6.75
cell_5539,47,Epiblast,E6.75
cell_5540,1,Nascent mesoderm,E6.75
cell_5543,61,Epiblast,E6.75
cell_5544,7,Primitive Streak,E6.75
cell_5545,1,Nascent mesoderm,E6.75
cell_5546,7,Primitive Streak,E6.75
cell_5547,2,Epiblast,E6.75
cell_5548,5,Primitive Streak,E6.75
cell_5549,25,Epiblast,E6.75
cell_5550,7,Epiblast,E6.75
cell_5551,1,Nascent mesoderm,E6.75
cell_5553,2,Epiblast,E6.75
cell_5554,2,Epiblast,E6.75
cell_5556,38,Primitive Streak,E6.75
cell_5557,0,Epiblast,E6.75
cell_5558,7,Primitive Streak,E6.75
cell_5560,2,Epiblast,E6.75
cell_5561,0,Epiblast,E6.75
cell_5565,2,Epiblast,E6.75
cell_5569,1,Nascent mesoderm,E6.75
cell_5570,7,Primitive Streak,E6.75
cell_5571,2,Epiblast,E6.75
cell_5573,1,Nascent mesoderm,E6.75
cell_5574,5,Epiblast,E6.75
cell_5575,1,Nascent mesoderm,E6.75
cell_5576,61,Epiblast,E6.75
cell_5577,2,Epiblast,E6.75
cell_5578,9,Mixed mesoderm,E6.75
cell_5580,7,Primitive Streak,E6.75
cell_5581,9,Mixed mesoderm,E6.75
cell_5582,54,Epiblast,E6.75
cell_5583,47,Epiblast,E6.75
cell_5584,1,Primitive Streak,E6.75
cell_5587,25,Primitive Streak,E6.75
cell_5588,45,Epiblast,E6.75
cell_5591,7,Primitive Streak,E6.75
cell_5592,33,Primitive Streak,E6.75
cell_5593,7,Primitive Streak,E6.75
cell_5594,2,Epiblast,E6.75
cell_5595,25,Epiblast,E6.75
cell_5596,2,Epiblast,E6.75
cell_5599,45,Epiblast,E6.75
cell_5600,7,Epiblast,E6.75
cell_5603,2,Epiblast,E6.75
cell_5604,27,Epiblast,E6.75
cell_5605,47,Epiblast,E6.75
cell_5607,9,Nascent mesoderm,E6.75
cell_5609,2,Epiblast,E6.75
cell_5610,49,Epiblast,E6.75
cell_5611,9,Nascent mesoderm,E6.75
cell_5612,49,Primitive Streak,E6.75
cell_5613,7,Primitive Streak,E6.75
cell_5614,7,Primitive Streak,E6.75
cell_5615,1,Nascent mesoderm,E6.75
cell_5616,2,Epiblast,E6.75
cell_5617,54,Epiblast,E6.75
cell_5618,7,Epiblast,E6.75
cell_5619,25,Primitive Streak,E6.75
cell_5620,2,Epiblast,E6.75
cell_5622,61,Epiblast,E6.75
cell_5625,25,Epiblast,E6.75
cell_5627,7,Epiblast,E6.75
cell_5628,2,Epiblast,E6.75
cell_5631,2,Epiblast,E6.75
cell_5632,25,Primitive Streak,E6.75
cell_5633,64,Epiblast,E6.75
cell_5635,25,Primitive Streak,E6.75
cell_5637,45,Primitive Streak,E6.75
cell_5638,0,Epiblast,E6.75
cell_5639,2,Epiblast,E6.75
cell_5640,2,Epiblast,E6.75
cell_5641,2,Epiblast,E6.75
cell_5642,2,Epiblast,E6.75
cell_5644,2,Epiblast,E6.75
cell_5645,25,Primitive Streak,E6.75
cell_5646,9,Mixed mesoderm,E6.75
cell_5647,1,Nascent mesoderm,E6.75
cell_5648,25,Epiblast,E6.75
cell_5649,2,Epiblast,E6.75
cell_5650,62,Epiblast,E6.75
cell_5651,9,Mixed mesoderm,E6.75
cell_5652,38,Anterior Primitive Streak,E6.75
cell_5653,47,Epiblast,E6.75
cell_5654,5,Primitive Streak,E6.75
cell_5655,47,Epiblast,E6.75
cell_5659,49,Epiblast,E6.75
cell_5660,45,Epiblast,E6.75
cell_5661,0,Epiblast,E6.75
cell_5663,25,Primitive Streak,E6.75
cell_5664,44,Primitive Streak,E6.75
cell_5666,7,Epiblast,E6.75
cell_5667,37,Mixed mesoderm,E6.75
cell_5669,25,Epiblast,E6.75
cell_5671,64,Epiblast,E6.75
cell_5672,47,Epiblast,E6.75
cell_5673,49,Epiblast,E6.75
cell_5674,2,Epiblast,E6.75
cell_5676,7,Epiblast,E6.75
cell_5677,25,Anterior Primitive Streak,E6.75
cell_5679,64,Epiblast,E6.75
cell_5680,25,Epiblast,E6.75
cell_5682,45,Epiblast,E6.75
cell_5684,2,Epiblast,E6.75
cell_5685,44,Primitive Streak,E6.75
cell_5686,5,Primitive Streak,E6.75
cell_5689,2,Epiblast,E6.75
cell_5690,2,Epiblast,E6.75
cell_5691,44,Primitive Streak,E6.75
cell_5692,1,Nascent mesoderm,E6.75
cell_5694,9,Mixed mesoderm,E6.75
cell_5701,64,Primitive Streak,E6.75
cell_5702,2,Epiblast,E6.75
cell_5703,66,Epiblast,E6.75
cell_5704,45,Epiblast,E6.75
cell_5705,25,Epiblast,E6.75
cell_5706,9,Nascent mesoderm,E6.75
cell_5707,25,Epiblast,E6.75
cell_5708,2,Epiblast,E6.75
cell_5709,54,Epiblast,E6.75
cell_5712,45,Primitive Streak,E6.75
cell_5713,0,Epiblast,E6.75
cell_5714,5,Epiblast,E6.75
cell_5715,47,Epiblast,E6.75
cell_5716,1,Nascent mesoderm,E6.75
cell_5717,0,Epiblast,E6.75
cell_5719,7,Primitive Streak,E6.75
cell_5720,2,Epiblast,E6.75
cell_5721,2,Epiblast,E6.75
cell_5723,7,Primitive Streak,E6.75
cell_5725,5,Epiblast,E6.75
cell_5727,49,Epiblast,E6.75
cell_5729,2,Epiblast,E6.75
cell_5730,38,Primitive Streak,E6.75
cell_5733,47,Primitive Streak,E6.75
cell_5734,0,Epiblast,E6.75
cell_5735,21,Epiblast,E6.75
cell_5737,1,Nascent mesoderm,E6.75
cell_5738,1,Nascent mesoderm,E6.75
cell_5739,5,Epiblast,E6.75
cell_5740,5,Primitive Streak,E6.75
cell_5742,54,Epiblast,E6.75
cell_5743,2,Epiblast,E6.75
cell_5745,47,Epiblast,E6.75
cell_5749,61,Epiblast,E6.75
cell_5750,2,Epiblast,E6.75
cell_5752,1,Nascent mesoderm,E6.75
cell_5754,2,Epiblast,E6.75
cell_5756,7,Epiblast,E6.75
cell_5757,45,Epiblast,E6.75
cell_5760,49,Epiblast,E6.75
cell_5761,7,Primitive Streak,E6.75
cell_5763,2,Epiblast,E6.75
cell_5766,45,Epiblast,E6.75
cell_5768,25,Primitive Streak,E6.75
cell_5773,0,Epiblast,E6.75
cell_5775,2,Epiblast,E6.75
cell_5776,7,Primitive Streak,E6.75
cell_5778,7,Primitive Streak,E6.75
cell_5779,54,Epiblast,E6.75
cell_5780,62,Epiblast,E6.75
cell_5783,0,Epiblast,E6.75
cell_5784,7,Primitive Streak,E6.75
cell_5787,9,Nascent mesoderm,E6.75
cell_5788,25,Epiblast,E6.75
cell_5789,25,Epiblast,E6.75
cell_5790,2,Epiblast,E6.75
cell_5791,0,Epiblast,E6.75
cell_5792,7,Primitive Streak,E6.75
cell_5793,38,Primitive Streak,E6.75
cell_5796,0,Epiblast,E6.75
cell_5797,1,Nascent mesoderm,E6.75
cell_5798,7,Epiblast,E6.75
cell_5799,9,Mixed mesoderm,E6.75
cell_5800,47,Epiblast,E6.75
cell_5801,5,Primitive Streak,E6.75
cell_5803,7,Epiblast,E6.75
cell_5804,61,Epiblast,E6.75
cell_5808,25,Epiblast,E6.75
cell_5809,1,Nascent mesoderm,E6.75
cell_5811,2,Epiblast,E6.75
cell_5812,2,Epiblast,E6.75
cell_5814,2,Epiblast,E6.75
cell_5815,2,Epiblast,E6.75
cell_5817,0,Epiblast,E6.75
cell_5819,7,Primitive Streak,E6.75
cell_5822,0,Epiblast,E6.75
cell_5823,2,Epiblast,E6.75
cell_5827,2,Epiblast,E6.75
cell_5828,7,Epiblast,E6.75
cell_5829,2,Epiblast,E6.75
cell_5830,5,Epiblast,E6.75
cell_5831,2,Epiblast,E6.75
cell_5833,49,Epiblast,E6.75
cell_5834,25,Primitive Streak,E6.75
cell_5836,7,Primitive Streak,E6.75
cell_5837,2,Epiblast,E6.75
cell_5838,1,Primitive Streak,E6.75
cell_5839,47,Epiblast,E6.75
cell_5840,2,Epiblast,E6.75
cell_5842,2,Epiblast,E6.75
cell_5843,0,Epiblast,E6.75
cell_5844,2,Epiblast,E6.75
cell_5850,7,Primitive Streak,E6.75
cell_5851,2,Epiblast,E6.75
cell_5852,25,Anterior Primitive Streak,E6.75
cell_5853,2,Epiblast,E6.75
cell_5855,47,Epiblast,E6.75
cell_5856,49,Epiblast,E6.75
cell_5857,44,Nascent mesoderm,E6.75
cell_5858,38,Nascent mesoderm,E6.75
cell_5859,2,Epiblast,E6.75
cell_5860,1,Nascent mesoderm,E6.75
cell_5863,5,Epiblast,E6.75
cell_5864,61,Epiblast,E6.75
cell_5865,63,Epiblast,E6.75
cell_5867,49,Epiblast,E6.75
cell_5868,7,Primitive Streak,E6.75
cell_5869,2,Epiblast,E6.75
cell_5870,2,Epiblast,E6.75
cell_5871,62,Epiblast,E6.75
cell_5875,7,Epiblast,E6.75
cell_5878,54,Epiblast,E6.75
cell_5883,38,Epiblast,E6.75
cell_5884,7,Primitive Streak,E6.75
cell_5885,7,Primitive Streak,E6.75
cell_5886,1,Nascent mesoderm,E6.75
cell_5887,2,Epiblast,E6.75
cell_5889,49,Epiblast,E6.75
cell_5890,25,Epiblast,E6.75
cell_5892,1,Nascent mesoderm,E6.75
cell_5895,7,Nascent mesoderm,E6.75
cell_5896,25,Epiblast,E6.75
cell_5897,0,Epiblast,E6.75
cell_5901,47,Epiblast,E6.75
cell_5905,2,Epiblast,E6.75
cell_5906,7,Primitive Streak,E6.75
cell_5908,49,Epiblast,E6.75
cell_5909,2,Epiblast,E6.75
cell_5910,25,Epiblast,E6.75
cell_5911,0,Epiblast,E6.75
cell_5913,2,Epiblast,E6.75
cell_5914,0,Epiblast,E6.75
cell_5916,1,Primitive Streak,E6.75
cell_5917,1,Nascent mesoderm,E6.75
cell_5918,44,Primitive Streak,E6.75
cell_5920,2,Epiblast,E6.75
cell_5921,5,Epiblast,E6.75
cell_5922,1,Nascent mesoderm,E6.75
cell_5926,2,Epiblast,E6.75
cell_5928,25,Epiblast,E6.75
cell_5929,0,Epiblast,E6.75
cell_5930,2,Epiblast,E6.75
cell_5931,2,Epiblast,E6.75
cell_5932,7,Primitive Streak,E6.75
cell_5933,1,Nascent mesoderm,E6.75
cell_5934,7,Primitive Streak,E6.75
cell_5937,62,Epiblast,E6.75
cell_5939,25,Epiblast,E6.75
cell_5940,5,Epiblast,E6.75
cell_5943,25,Primitive Streak,E6.75
cell_5945,7,Primitive Streak,E6.75
cell_5949,2,Epiblast,E6.75
cell_5952,49,Epiblast,E6.75
cell_5953,2,Epiblast,E6.75
cell_5954,25,Epiblast,E6.75
cell_5956,64,Epiblast,E6.75
cell_5957,2,Epiblast,E6.75
cell_5958,25,Epiblast,E6.75
cell_5959,7,Epiblast,E6.75
cell_5960,9,Nascent mesoderm,E6.75
cell_5961,2,Epiblast,E6.75
cell_5964,2,Epiblast,E6.75
cell_5965,7,Epiblast,E6.75
cell_5967,38,Primitive Streak,E6.75
cell_5968,44,Nascent mesoderm,E6.75
cell_5970,25,Epiblast,E6.75
cell_5971,0,Epiblast,E6.75
cell_5976,2,Epiblast,E6.75
cell_5977,0,Epiblast,E6.75
cell_5978,7,Primitive Streak,E6.75
cell_5979,49,Epiblast,E6.75
cell_5981,7,Epiblast,E6.75
cell_5982,7,Primitive Streak,E6.75
cell_5983,47,Epiblast,E6.75
cell_5984,0,Epiblast,E6.75
cell_5986,7,Epiblast,E6.75
cell_5991,47,Primitive Streak,E6.75
cell_5994,5,Primitive Streak,E6.75
cell_5997,1,Nascent mesoderm,E6.75
cell_5999,2,Epiblast,E6.75
cell_6000,49,Primitive Streak,E6.75
cell_6001,7,Primitive Streak,E6.75
cell_6005,47,Primitive Streak,E6.75
cell_6006,0,Epiblast,E6.75
cell_6007,5,Epiblast,E6.75
cell_6008,2,Epiblast,E6.75
cell_6009,25,Epiblast,E6.75
cell_6010,2,Epiblast,E6.75
cell_6011,25,Primitive Streak,E6.75
cell_6012,0,Epiblast,E6.75
cell_6014,20,Rostral neurectoderm,E6.75
cell_6015,1,Nascent mesoderm,E6.75
cell_6016,5,Primitive Streak,E6.75
cell_6017,49,Epiblast,E6.75
cell_6019,5,Primitive Streak,E6.75
cell_6020,61,Epiblast,E6.75
cell_6021,2,Epiblast,E6.75
cell_6022,2,Epiblast,E6.75
cell_6024,5,Epiblast,E6.75
cell_6026,9,Mixed mesoderm,E6.75
cell_6027,2,Epiblast,E6.75
cell_6030,7,Epiblast,E6.75
cell_6033,1,Nascent mesoderm,E6.75
cell_6034,49,Epiblast,E6.75
cell_6035,1,Nascent mesoderm,E6.75
cell_6037,1,Nascent mesoderm,E6.75
cell_6040,5,Epiblast,E6.75
cell_6041,5,Primitive Streak,E6.75
cell_6044,45,Epiblast,E6.75
cell_6046,9,Nascent mesoderm,E6.75
cell_6052,0,Epiblast,E6.75
cell_6053,25,Epiblast,E6.75
cell_6055,1,Nascent mesoderm,E6.75
cell_6056,2,Epiblast,E6.75
cell_6057,2,Epiblast,E6.75
cell_6061,7,Primitive Streak,E6.75
cell_6062,65,Epiblast,E6.75
cell_6063,2,Epiblast,E6.75
cell_6065,7,Epiblast,E6.75
cell_6066,61,Epiblast,E6.75
cell_6069,47,Primitive Streak,E6.75
cell_6070,62,Epiblast,E6.75
cell_6071,28,Anterior Primitive Streak,E6.75
cell_6072,7,Epiblast,E6.75
cell_6074,2,Epiblast,E6.75
cell_6076,47,Epiblast,E6.75
cell_6077,5,Primitive Streak,E6.75
cell_6078,2,Epiblast,E6.75
cell_6080,61,Epiblast,E6.75
cell_6081,7,Epiblast,E6.75
cell_6082,47,Epiblast,E6.75
cell_6083,2,Epiblast,E6.75
cell_6086,49,Epiblast,E6.75
cell_6087,1,Nascent mesoderm,E6.75
cell_6090,1,Primitive Streak,E6.75
cell_6091,7,Epiblast,E6.75
cell_6094,49,Epiblast,E6.75
cell_6098,7,Primitive Streak,E6.75
cell_6100,7,Epiblast,E6.75
cell_6101,64,Epiblast,E6.75
cell_6102,7,Epiblast,E6.75
cell_6103,7,Primitive Streak,E6.75
cell_6107,5,Primitive Streak,E6.75
cell_6108,0,Epiblast,E6.75
cell_6112,1,Nascent mesoderm,E6.75
cell_6113,1,Nascent mesoderm,E6.75
cell_6114,33,Primitive Streak,E6.75
cell_6117,2,Epiblast,E6.75
cell_6118,2,Epiblast,E6.75
cell_6124,38,Epiblast,E6.75
cell_6125,2,Epiblast,E6.75
cell_6130,2,Epiblast,E6.75
cell_6133,27,Epiblast,E6.75
cell_6134,0,Epiblast,E6.75
cell_6136,47,Epiblast,E6.75
cell_6137,1,Nascent mesoderm,E6.75
cell_6139,2,Epiblast,E6.75
cell_6145,2,Epiblast,E6.75
cell_6146,47,Primitive Streak,E6.75
cell_6147,38,Primitive Streak,E6.75
cell_6148,2,Epiblast,E6.75
cell_6150,54,Epiblast,E6.75
cell_6152,61,Epiblast,E6.75
cell_6153,64,Epiblast,E6.75
cell_6154,2,Epiblast,E6.75
cell_6155,0,Epiblast,E6.75
cell_6156,9,Mixed mesoderm,E6.75
cell_6158,0,Epiblast,E6.75
cell_6159,7,Epiblast,E6.75
cell_6160,2,Epiblast,E6.75
cell_6161,2,Epiblast,E6.75
cell_6166,2,Epiblast,E6.75
cell_6167,25,Epiblast,E6.75
cell_6168,2,Epiblast,E6.75
cell_6169,45,Surface ectoderm,E6.75
cell_6170,38,Primitive Streak,E6.75
cell_6171,7,Primitive Streak,E6.75
cell_6172,45,Primitive Streak,E6.75
cell_6173,2,Epiblast,E6.75
cell_6174,25,Anterior Primitive Streak,E6.75
cell_6176,7,Epiblast,E6.75
cell_6178,1,Nascent mesoderm,E6.75
cell_6179,25,Epiblast,E6.75
cell_6181,9,Nascent mesoderm,E6.75
cell_6182,47,Epiblast,E6.75
cell_6184,2,Epiblast,E6.75
cell_6185,1,Nascent mesoderm,E6.75
cell_6187,38,Primitive Streak,E6.75
cell_6189,2,Epiblast,E6.75
cell_6190,7,Primitive Streak,E6.75
cell_6191,54,Epiblast,E6.75
cell_6193,25,Epiblast,E6.75
cell_6194,7,Primitive Streak,E6.75
cell_6195,2,Epiblast,E6.75
cell_6196,25,Primitive Streak,E6.75
cell_6198,44,Primitive Streak,E6.75
cell_6199,0,Epiblast,E6.75
cell_6202,1,Nascent mesoderm,E6.75
cell_6204,25,Primitive Streak,E6.75
cell_6205,38,Primitive Streak,E6.75
cell_6210,49,Epiblast,E6.75
cell_6211,7,Primitive Streak,E6.75
cell_6215,25,Primitive Streak,E6.75
cell_6216,63,Epiblast,E6.75
cell_6217,5,Epiblast,E6.75
cell_6218,45,Surface ectoderm,E6.75
cell_6219,2,Epiblast,E6.75
cell_6221,45,Nascent mesoderm,E6.75
cell_6223,54,Epiblast,E6.75
cell_6225,2,Epiblast,E6.75
cell_6226,54,Epiblast,E6.75
cell_6228,7,Epiblast,E6.75
cell_6229,47,Epiblast,E6.75
cell_6230,2,Epiblast,E6.75
cell_6231,1,Nascent mesoderm,E6.75
cell_6232,44,Primitive Streak,E6.75
cell_6234,2,Epiblast,E6.75
cell_6235,25,Epiblast,E6.75
cell_6236,2,Epiblast,E6.75
cell_6237,7,Primitive Streak,E6.75
cell_6238,24,Epiblast,E6.75
cell_6239,0,Epiblast,E6.75
cell_6240,0,Epiblast,E6.75
cell_6241,2,Epiblast,E6.75
cell_6242,45,Primitive Streak,E6.75
cell_6243,7,Primitive Streak,E6.75
cell_6244,1,Primitive Streak,E6.75
cell_6245,7,Epiblast,E6.75
cell_6249,25,Primitive Streak,E6.75
cell_6257,2,Epiblast,E6.75
cell_6258,25,Epiblast,E6.75
cell_6261,2,Epiblast,E6.75
cell_6263,2,Epiblast,E6.75
cell_6267,7,Rostral neurectoderm,E6.75
cell_6270,1,Nascent mesoderm,E6.75
cell_6271,47,Epiblast,E6.75
cell_6274,1,Nascent mesoderm,E6.75
cell_6276,2,Epiblast,E6.75
cell_6279,63,Primitive Streak,E6.75
cell_6281,61,Epiblast,E6.75
cell_6282,2,Epiblast,E6.75
cell_6283,61,Epiblast,E6.75
cell_6287,5,Primitive Streak,E6.75
cell_6288,7,Primitive Streak,E6.75
cell_6289,2,Epiblast,E6.75
cell_6291,1,Nascent mesoderm,E6.75
cell_6294,5,Epiblast,E6.75
cell_6295,7,Epiblast,E6.75
cell_6298,33,Epiblast,E6.75
cell_6299,27,Epiblast,E6.75
cell_6300,1,Nascent mesoderm,E6.75
cell_6301,9,Nascent mesoderm,E6.75
cell_6303,0,Epiblast,E6.75
cell_6304,2,Epiblast,E6.75
cell_6305,2,Epiblast,E6.75
cell_6306,0,Epiblast,E6.75
cell_6308,2,Epiblast,E6.75
cell_6309,7,Epiblast,E6.75
cell_6311,65,Epiblast,E6.75
cell_6312,2,Epiblast,E6.75
cell_6316,7,Primitive Streak,E6.75
cell_6317,1,Nascent mesoderm,E6.75
cell_6318,2,Epiblast,E6.75
cell_6322,7,Primitive Streak,E6.75
cell_6323,5,Epiblast,E6.75
cell_6325,0,Epiblast,E6.75
cell_6330,33,Epiblast,E6.75
cell_6334,2,Epiblast,E6.75
cell_6335,2,Epiblast,E6.75
cell_6336,2,Epiblast,E6.75
cell_6338,0,Epiblast,E6.75
cell_6339,7,Primitive Streak,E6.75
cell_6340,28,Primitive Streak,E6.75
cell_6341,1,Nascent mesoderm,E6.75
cell_6346,2,Epiblast,E6.75
cell_6348,1,Nascent mesoderm,E6.75
cell_6349,1,Nascent mesoderm,E6.75
cell_6351,7,Epiblast,E6.75
cell_6352,5,Epiblast,E6.75
cell_6355,2,Epiblast,E6.75
cell_6357,7,Primitive Streak,E6.75
cell_6358,44,Primitive Streak,E6.75
cell_6359,2,Epiblast,E6.75
cell_6360,25,Nascent mesoderm,E6.75
cell_6362,37,Mixed mesoderm,E6.75
cell_6363,2,Epiblast,E6.75
cell_6366,54,Primitive Streak,E6.75
cell_6367,5,Primitive Streak,E6.75
cell_6368,45,Epiblast,E6.75
cell_6371,1,Nascent mesoderm,E6.75
cell_6372,47,Epiblast,E6.75
cell_6373,25,Primitive Streak,E6.75
cell_6375,2,Epiblast,E6.75
cell_6377,44,Primitive Streak,E6.75
cell_6378,49,Epiblast,E6.75
cell_6380,54,Primitive Streak,E6.75
cell_6381,33,Epiblast,E6.75
cell_6383,7,Primitive Streak,E6.75
cell_6385,62,Epiblast,E6.75
cell_6387,65,Epiblast,E6.75
cell_6388,2,Epiblast,E6.75
cell_6389,1,Nascent mesoderm,E6.75
cell_6390,5,Primitive Streak,E6.75
cell_6391,2,Epiblast,E6.75
cell_6394,7,Primitive Streak,E6.75
cell_6395,2,Epiblast,E6.75
cell_6399,47,Epiblast,E6.75
cell_6400,5,Epiblast,E6.75
cell_6401,7,Primitive Streak,E6.75
cell_6403,5,Primitive Streak,E6.75
cell_6406,7,Primitive Streak,E6.75
cell_6407,5,Epiblast,E6.75
cell_6408,45,Primitive Streak,E6.75
cell_6409,1,Nascent mesoderm,E6.75
cell_6410,63,Epiblast,E6.75
cell_6414,0,Epiblast,E6.75
cell_6415,7,Primitive Streak,E6.75
cell_6416,5,Primitive Streak,E6.75
cell_6417,2,Epiblast,E6.75
cell_6418,5,Primitive Streak,E6.75
cell_6419,54,Primitive Streak,E6.75
cell_6420,2,Epiblast,E6.75
cell_6426,38,Primitive Streak,E6.75
cell_6427,7,Epiblast,E6.75
cell_6428,0,Epiblast,E6.75
cell_6431,33,Epiblast,E6.75
cell_6432,2,Epiblast,E6.75
cell_6434,47,Epiblast,E6.75
cell_6435,2,Epiblast,E6.75
cell_6436,2,Epiblast,E6.75
cell_6437,2,Epiblast,E6.75
cell_6440,0,Epiblast,E6.75
cell_6441,0,Epiblast,E6.75
cell_6442,25,Primitive Streak,E6.75
cell_6444,5,Epiblast,E6.75
cell_6445,0,Epiblast,E6.75
cell_6446,2,Epiblast,E6.75
cell_6447,38,Primitive Streak,E6.75
cell_6449,44,Primitive Streak,E6.75
cell_6450,64,Epiblast,E6.75
cell_6451,7,Epiblast,E6.75
cell_6456,2,Epiblast,E6.75
cell_6457,7,Primitive Streak,E6.75
cell_6458,2,Epiblast,E6.75
cell_6459,0,Epiblast,E6.75
cell_6462,2,Epiblast,E6.75
cell_6463,54,Primitive Streak,E6.75
cell_6465,9,Nascent mesoderm,E6.75
cell_6467,45,Primitive Streak,E6.75
cell_6468,7,Epiblast,E6.75
cell_6469,49,Epiblast,E6.75
cell_6472,1,Nascent mesoderm,E6.75
cell_6473,1,Nascent mesoderm,E6.75
cell_6474,1,Nascent mesoderm,E6.75
cell_6475,44,Primitive Streak,E6.75
cell_6476,9,Mixed mesoderm,E6.75
cell_6477,1,Nascent mesoderm,E6.75
cell_6478,54,Epiblast,E6.75
cell_6479,54,Primitive Streak,E6.75
cell_6480,7,Primitive Streak,E6.75
cell_6484,25,Primitive Streak,E6.75
cell_6486,62,Primitive Streak,E6.75
cell_6487,2,Epiblast,E6.75
cell_6490,25,Epiblast,E6.75
cell_6492,45,Primitive Streak,E6.75
cell_6493,38,Epiblast,E6.75
cell_6494,2,Epiblast,E6.75
cell_6495,1,Nascent mesoderm,E6.75
cell_6496,2,Epiblast,E6.75
cell_6498,1,Nascent mesoderm,E6.75
cell_6499,1,Nascent mesoderm,E6.75
cell_6500,5,Epiblast,E6.75
cell_6501,66,Epiblast,E6.75
cell_6502,7,Primitive Streak,E6.75
cell_6505,45,Nascent mesoderm,E6.75
cell_6507,9,Nascent mesoderm,E6.75
cell_6508,2,Epiblast,E6.75
cell_6510,5,Epiblast,E6.75
cell_6512,5,Primitive Streak,E6.75
cell_6514,1,Nascent mesoderm,E6.75
cell_6515,54,Epiblast,E6.75
cell_6516,2,Epiblast,E6.75
cell_6517,7,Epiblast,E6.75
cell_6518,7,Primitive Streak,E6.75
cell_6519,9,Mixed mesoderm,E6.75
cell_6520,0,Epiblast,E6.75
cell_6522,7,Primitive Streak,E6.75
cell_6524,2,Epiblast,E6.75
cell_6525,0,Epiblast,E6.75
cell_6527,2,Epiblast,E6.75
cell_6529,21,Primitive Streak,E6.75
cell_6530,33,Epiblast,E6.75
cell_6532,5,Epiblast,E6.75
cell_6533,2,Epiblast,E6.75
cell_6534,62,Primitive Streak,E6.75
